AccountCode,Description,Account Name,Section,Type
1000,Cash at Bank,1000 - Cash at Bank,Bank,Summary
1001,Local Bank Account 1,1001 - Local Bank Account 1,Bank,Detail
1002,Local Bank Account 2,1002 - Local Bank Account 2,Bank,Detail
1010,USD Bank Account 1,1010 - USD Bank Account 1,Bank,Detail
1011,USD Bank Account 2,1011 - USD Bank Account 2,Bank,Detail
1090,Petty Cash Account,1090 - Petty Cash Account,Bank,Detail
1099,Cash Suspense,1099 - Cash Suspense,Bank,Detail
1200,Debtors,1200 - Debtors,Accounts Receivable,Summary
1210,Trade Debtors,1210 - Trade Debtors,Accounts Receivable,Detail
1220,Other Debtors,1220 - Other Debtors,Accounts Receivable,Detail
1310,Prepayments,1310 - Prepayments,Other Current Asset,Detail
1320,Advance Payments,1320 - Advance Payments,Other Current Asset,Detail
1330,Employee Advances,1330 - Employee Advances,Other Current Asset,Detail
1340,Deposits,1340 - Deposits,Other Current Asset,Detail
1400,Directors Loans,1400 - Directors Loans,Other Current Assets,Summary
1410,G C Parsons,1410 - G C Parsons,Other Current Assets,Detail
1420,G Wilk,1420 - G Wilk,Other Current Assets,Detail
1430,T Lo,1430 - T Lo,Other Current Assets,Detail
1490,Directors Loans - Non Specific,1490 - Directors Loans - Non Specific,Other Current Assets,Detail
1500,Loans To Affiliates,1500 - Loans To Affiliates,Other Current Assets,Summary
1510,Maxiplan Australia,1510 - Maxiplan Australia,Other Current Assets,Detail
1520,Maxiplan HK,1520 - Maxiplan HK,Other Current Assets,Detail
1530,Maxiplan Singapore,1530 - Maxiplan Singapore,Other Current Assets,Detail
1540,Maxiplan UK,1540 - Maxiplan UK,Other Current Assets,Detail
1590,Undeposited Funds,1590 - Undeposited Funds,Other Current Assets,Detail
1600,Office Equipment,1600 - Office Equipment,Fixed Asset,Summary
1610,Office Equip - At Cost,1610 - Office Equip - At Cost,Fixed Asset,Detail
1620,Office Equip - Accum Depn,1620 - Office Equip - Accum Depn,Fixed Asset,Detail
1700,Computers,1700 - Computers,Fixed Asset,Summary
1710,Computers - At Cost,1710 - Computers - At Cost,Fixed Asset,Detail
1720,Computers - Accum Depn,1720 - Computers - Accum Depn,Fixed Asset,Detail
1800,Fixtures & Fittings,1800 - Fixtures & Fittings,Fixed Asset,Summary
1810,Fixtures - At Cost,1810 - Fixtures - At Cost,Fixed Asset,Detail
1820,Fixtures - Accum Depn,1820 - Fixtures - Accum Depn,Fixed Asset,Detail
2000,Creditors,2000 - Creditors,Accounts Payable,Summary
2010,Trade Creditors,2010 - Trade Creditors,Accounts Payable,Detail
2020,Other Creditors,2020 - Other Creditors,Accounts Payable,Detail
2100,Loans From Affiliates,2100 - Loans From Affiliates,Other Current Liability,Summary
2110,Loans - Maxiplan Australia,2110 - Loans - Maxiplan Australia,Other Current Liability,Detail
2120,Loans - Maxiplan HK,2120 - Loans - Maxiplan HK,Other Current Liability,Detail
2130,Loans - Maxiplan Singapore,2130 - Loans - Maxiplan Singapore,Other Current Liability,Detail
2140,Loans - Maxiplan UK,2140 - Loans - Maxiplan UK,Other Current Liability,Detail
2150,Loans - Satoluja,2150 - Loans - Satoluja,Other Current Liability,Detail
2160,Loans - ITH,2160 - Loans - ITH,Other Current Liability,Detail
2190,Loans from Affilites - Non Specific,2190 - Loans from Affilites - Non Specific,Other Current Liability,Detail
2200,Directors Loans,2200 - Directors Loans,Other Current Liability,Summary
2210,Loans - G C Parsons,2210 - Loans - G C Parsons,Other Current Liability,Detail
2220,Loans - G Wilk,2220 - Loans - G Wilk,Other Current Liability,Detail
2290,Loans - Directors Other,2290 - Loans - Directors Other,Other Current Liability,Detail
2310,Prepaid Maintenance,2310 - Prepaid Maintenance,Other Current Liability,Detail
2410,Payroll Liabilities,2410 - Payroll Liabilities,Other Current Liability,Detail
2510,Accrued Expenses,2510 - Accrued Expenses,Other Current Liability,Detail
2610,GST Control,2610 - GST Control,Other Current Liability,Detail
2620,Taxation Payable,2620 - Taxation Payable,Other Current Liability,Detail
2630,Deferred Taxation,2630 - Deferred Taxation,Other Current Liability,Detail
3000,Equity,3000 - Equity,Equity,Summary
3100,Opening Balance Equity,3100 - Opening Balance Equity,Equity,Detail
3200,Share Capital,3200 - Share Capital,Equity,Detail
3300,Retained Earnings,3300 - Retained Earnings,Equity,Detail
3400,Share Premium,3400 - Share Premium,Equity,Detail
4000,Income,4000 - Income,Income,Summary
4010,Software Licence Fees,4010 - Software Licence Fees,Income,Detail
4020,Support and Upgrade Fees,4020 - Support and Upgrade Fees,Income,Detail
4030,Consultancy and Development,4030 - Consultancy and Development,Income,Detail
4040,Consulting Expenses Recovery,4040 - Consulting Expenses Recovery,Income,Detail
4050,Miscellaneous Income,4050 - Miscellaneous Income,Income,Detail
5000,Cost of Goods Sold,5000 - Cost of Goods Sold,Cost of Goods Sold,Summary
5010,Software Licence Costs,5010 - Software Licence Costs,Cost of Goods Sold,Detail
5015,Upgrade and Support Costs,5015 - Upgrade and Support Costs,Cost of Goods Sold,Detail
5020,Subcontractor Fees,5020 - Subcontractor Fees,Cost of Goods Sold,Detail
5050,Sales Commissions,5050 - Sales Commissions,Cost of Goods Sold,Detail
