Account,Type,Accnt. #
1001 · SCB HK$ 1,Bank,1001
1002 · SCB HK$ 2,Bank,1002
1005 · SCB US$,Bank,1005
1008 · Cash Suspense,Bank,1008
1021 · Petty Cash,Bank,1021
1200 · Accounts Receivable,Accounts Receivable,1200
1201 · Other Debtors,Accounts Receivable,1201
1220 · MR Accounts Receivable,Accounts Receivable,1220
1222 · THB Accounts Receivable,Accounts Receivable,1222
1224 · NZD Accounts Receivable,Accounts Receivable,1224
1230 · Temporary Suspense,Other Current Asset,1230
1300 · Prepayments,Other Current Asset,1300
1420 · Advance Legal Fees,Other Current Asset,1420
1450 · Deposits & Advances,Other Current Asset,1450
1450 · Deposits & Advances:1451 · Lease Deposit,Other Current Asset,1451
1450 · Deposits & Advances:1452 · Other Deposits,Other Current Asset,1452
1450 · Deposits & Advances:1453 · Utilities Deposits,Other Current Asset,1453
1460 · Accrued Revenue,Other Current Asset,1460
1470 · Directors Loans,Other Current Asset,1470
1470 · Directors Loans:1471 · Director 1,Other Current Asset,1471
1470 · Directors Loans:1472 · Director 2,Other Current Asset,1472
1470 · Directors Loans:1473 · Director 3,Other Current Asset,1473
1480 · Loan - ABC Singapore,Other Current Asset,1480
1485 · Loans - ABC Australia,Other Current Asset,1485
1490 · Loans New Venture,Other Current Asset,1490
1499 · Undeposited Funds,Other Current Asset,1499
1510 · Employee Advances,Other Current Asset,1510
1890 · Office Equipment,Fixed Asset,1890
1890 · Office Equipment:1891 · Cost,Fixed Asset,1891
1890 · Office Equipment:1892 · Accumulated Depreciation,Fixed Asset,1892
1910 · Computer Equipment,Fixed Asset,1910
1910 · Computer Equipment:1911 · Cost,Fixed Asset,1911
1910 · Computer Equipment:1912 · Accumulated Depn,Fixed Asset,1912
1950 · Fixtures & Fittings,Fixed Asset,1950
1950 · Fixtures & Fittings:1951 · Accumulated Depreciation,Fixed Asset,1951
1950 · Fixtures & Fittings:1952 · Cost,Fixed Asset,1952
2000 · Accounts Payable,Accounts Payable,2000
2060 · Other Payables,Other Current Liability,2060
2070 · Loans from Affiliate Companies,Other Current Liability,2070
