,"Date","Account","Debit","Credit","Amount"
"Jan - Jun 11",,,,,
,"18/01/2011","1001 · MacQuarie Cash Management Trust",5500.00,"",5500.00
,"17/02/2011","1001 · MacQuarie Cash Management Trust",3850.00,"",3850.00
,"15/01/2011","1001 · MacQuarie Cash Management Trust","",168.15,-168.15
,"31/01/2011","1001 · MacQuarie Cash Management Trust",34.09,"",34.09
,"18/02/2011","1001 · MacQuarie Cash Management Trust","",165.89,-165.89
,"28/02/2011","1001 · MacQuarie Cash Management Trust",55.48,"",55.48
,"24/02/2011","1001 · MacQuarie Cash Management Trust",24972.53,"",24972.53
,"24/02/2011","1001 · MacQuarie Cash Management Trust","",20000.00,-20000.00
,"1/03/2011","1001 · MacQuarie Cash Management Trust","",2530.00,-2530.00
,"8/03/2011","1001 · MacQuarie Cash Management Trust","",1767.00,-1767.00
,"31/03/2011","1001 · MacQuarie Cash Management Trust",63.99,"",63.99
,"23/03/2011","1001 · MacQuarie Cash Management Trust","",1083.00,-1083.00
,"10/03/2011","1001 · MacQuarie Cash Management Trust","",165.89,-165.89
,"30/03/2011","1001 · MacQuarie Cash Management Trust","",9748.69,-9748.69
,"11/04/2011","1001 · MacQuarie Cash Management Trust",6050.00,"",6050.00
,"29/04/2011","1001 · MacQuarie Cash Management Trust",30.79,"",30.79
,"11/04/2011","1001 · MacQuarie Cash Management Trust","",170.35,-170.35
,"31/05/2011","1001 · MacQuarie Cash Management Trust",51.25,"",51.25
,"11/05/2011","1001 · MacQuarie Cash Management Trust","",165.89,-165.89
,"6/05/2011","1001 · MacQuarie Cash Management Trust",2750.00,"",2750.00
,"20/05/2011","1001 · MacQuarie Cash Management Trust","",820.00,-820.00
,"25/03/2011","1200 · Accounts Receivable",2750.00,"",2750.00
,"18/01/2011","1200 · Accounts Receivable","",5500.00,-5500.00
,"17/02/2011","1200 · Accounts Receivable","",3850.00,-3850.00
,"7/04/2011","1200 · Accounts Receivable",3300.00,"",3300.00
,"27/04/2011","1200 · Accounts Receivable",2750.00,"",2750.00
,"1/06/2011","1200 · Accounts Receivable",2200.00,"",2200.00
,"11/04/2011","1200 · Accounts Receivable","",6050.00,-6050.00
,"6/05/2011","1200 · Accounts Receivable","",2750.00,-2750.00
,"30/03/2011","1402 · Loans to MaxiPlan Singapore",9748.69,"",9748.69
,"7/02/2011","1402 · Loans to MaxiPlan Singapore",28000.00,"",28000.00
,"5/01/2011","2000 · Accounts Payable","",168.15,-168.15
,"28/03/2011","2000 · Accounts Payable","",1894.94,-1894.94
,"15/01/2011","2000 · Accounts Payable",168.15,"",168.15
,"6/02/2011","2000 · Accounts Payable","",165.89,-165.89
,"18/02/2011","2000 · Accounts Payable",165.89,"",165.89
,"28/02/2011","2000 · Accounts Payable","",5060.00,-5060.00
,"1/03/2011","2000 · Accounts Payable",2530.00,"",2530.00
,"5/04/2011","2000 · Accounts Payable","",170.35,-170.35
,"5/05/2011","2000 · Accounts Payable","",165.89,-165.89
,"5/03/2011","2000 · Accounts Payable","",165.89,-165.89
,"10/03/2011","2000 · Accounts Payable",165.89,"",165.89
,"11/04/2011","2000 · Accounts Payable",170.35,"",170.35
,"11/05/2011","2000 · Accounts Payable",165.89,"",165.89
,"10/06/2011","2000 · Accounts Payable","",1520.45,-1520.45
,"24/05/2011","2110 · Prepaid M&S Fees",2083.00,"",2083.00
,"24/05/2011","2110 · Prepaid M&S Fees",5621.39,"",5621.39
,"24/02/2011","2122 · Loans - MaxiPlan HK","",25000.00,-25000.00
,"24/02/2011","2150 · Loan from Ron Irish/Peter",20000.00,"",20000.00
,"7/02/2011","2150 · Loan from Ron Irish/Peter","",28000.00,-28000.00
,"5/01/2011","2200 · Tax Payable",15.28,"",15.28
,"25/03/2011","2200 · Tax Payable","",250.00,-250.00
,"6/02/2011","2200 · Tax Payable",15.08,"",15.08
,"7/04/2011","2200 · Tax Payable","",300.00,-300.00
,"27/04/2011","2200 · Tax Payable","",250.00,-250.00
,"28/02/2011","2200 · Tax Payable",460.00,"",460.00
,"8/03/2011","2200 · Tax Payable",1767.00,"",1767.00
,"23/03/2011","2200 · Tax Payable",98.45,"",98.45
,"5/04/2011","2200 · Tax Payable",15.48,"",15.48
