,"Date","Account","Debit","Credit","Amount"
"Jan - Jun 11",,,,,
,"11/01/2011","1001 · 429 SCB","",86.41,-86.41
,"11/01/2011","1001 · 429 SCB","",340.38,-340.38
,"11/01/2011","1001 · 429 SCB","",3159.56,-3159.56
,"11/01/2011","1001 · 429 SCB","",650.00,-650.00
,"25/01/2011","1001 · 429 SCB","",8879.10,-8879.10
,"25/01/2011","1001 · 429 SCB","",4416.92,-4416.92
,"25/01/2011","1001 · 429 SCB","",512.82,-512.82
,"25/01/2011","1001 · 429 SCB","",818.10,-818.10
,"11/01/2011","1001 · 429 SCB",4379.40,"",4379.40
,"25/01/2011","1001 · 429 SCB",14655.02,"",14655.02
,"10/03/2011","1001 · 429 SCB",3985.80,"",3985.80
,"11/03/2011","1001 · 429 SCB","",95.00,-95.00
,"11/03/2011","1001 · 429 SCB","",3255.72,-3255.72
,"11/03/2011","1001 · 429 SCB","",42.31,-42.31
,"11/03/2011","1001 · 429 SCB","",370.02,-370.02
,"15/02/2011","1001 · 429 SCB",3341.99,"",3341.99
,"28/02/2011","1001 · 429 SCB",7455.39,"",7455.39
,"16/02/2011","1001 · 429 SCB","",101.03,-101.03
,"16/02/2011","1001 · 429 SCB","",3159.56,-3159.56
,"11/04/2011","1001 · 429 SCB",3996.17,"",3996.17
,"21/03/2011","1001 · 429 SCB",7459.61,"",7459.61
,"28/02/2011","1001 · 429 SCB","",4689.74,-4689.74
,"28/02/2011","1001 · 429 SCB","",2325.06,-2325.06
,"28/02/2011","1001 · 429 SCB","",501.15,-501.15
,"12/04/2011","1001 · 429 SCB","",719.10,-719.10
,"12/04/2011","1001 · 429 SCB","",3191.37,-3191.37
,"12/04/2011","1001 · 429 SCB","",110.26,-110.26
,"31/03/2011","1001 · 429 SCB","",4689.74,-4689.74
,"31/03/2011","1001 · 429 SCB","",2325.06,-2325.06
,"31/03/2011","1001 · 429 SCB","",501.15,-501.15
,"29/04/2011","1001 · 429 SCB",7602.96,"",7602.96
,"29/04/2011","1001 · 429 SCB","",4689.74,-4689.74
,"29/04/2011","1001 · 429 SCB","",2325.06,-2325.06
,"29/04/2011","1001 · 429 SCB","",501.16,-501.16
,"13/05/2011","1001 · 429 SCB","",94.62,-94.62
,"13/05/2011","1001 · 429 SCB","",3335.60,-3335.60
,"13/05/2011","1001 · 429 SCB","",355.38,-355.38
,"9/05/2011","1001 · 429 SCB",3866.81,"",3866.81
,"31/05/2011","1001 · 429 SCB",12651.91,"",12651.91
,"11/01/2011","1005 · SCB US$","",4379.40,-4379.40
,"25/01/2011","1005 · SCB US$","",14655.02,-14655.02
,"31/01/2011","1005 · SCB US$",0.95,"",0.95
,"11/01/2011","1005 · SCB US$",5212.01,"",5212.01
,"11/01/2011","1005 · SCB US$",31746.23,"",31746.23
,"25/01/2011","1005 · SCB US$",12466.07,"",12466.07
,"31/01/2011","1005 · SCB US$","",1.95,-1.95
,"10/03/2011","1005 · SCB US$","",3985.80,-3985.80
,"25/02/2011","1005 · SCB US$","",20000.00,-20000.00
,"25/02/2011","1005 · SCB US$","",11086.00,-11086.00
,"15/02/2011","1005 · SCB US$","",3341.99,-3341.99
,"28/02/2011","1005 · SCB US$","",7455.39,-7455.39
,"28/02/2011","1005 · SCB US$","",61.56,-61.56
,"28/02/2011","1005 · SCB US$",0.78,"",0.78
,"28/02/2011","1005 · SCB US$","",20.52,-20.52
,"28/02/2011","1005 · SCB US$","",25481.60,-25481.60
,"21/03/2011","1005 · SCB US$",15739.30,"",15739.30
,"21/03/2011","1005 · SCB US$","",1.95,-1.95
,"21/03/2011","1005 · SCB US$",0.47,"",0.47
,"11/04/2011","1005 · SCB US$","",3996.17,-3996.17
,"21/03/2011","1005 · SCB US$","",7459.61,-7459.61
,"29/04/2011","1005 · SCB US$","",7602.96,-7602.96
,"30/04/2011","1005 · SCB US$",0.45,"",0.45
,"9/05/2011","1005 · SCB US$","",3866.81,-3866.81
,"31/05/2011","1005 · SCB US$","",12651.91,-12651.91
,"24/05/2011","1005 · SCB US$","",15000.00,-15000.00
,"24/05/2011","1005 · SCB US$",11268.53,"",11268.53
,"31/05/2011","1005 · SCB US$",0.42,"",0.42
,"31/05/2011","1005 · SCB US$","",30.87,-30.87
,"25/01/2011","1021 · Petty Cash",209.74,"",209.74
,"25/01/2011","1200 · Accounts Receivable","",12466.07,-12466.07
,"15/02/2011","1200 · Accounts Receivable",7328.29,"",7328.29
,"15/03/2011","1200 · Accounts Receivable",8411.01,"",8411.01
,"6/04/2011","1200 · Accounts Receivable",14389.28,"",14389.28
,"21/03/2011","1200 · Accounts Receivable","",15739.30,-15739.30
,"16/05/2011","1200 · Accounts Receivable",8894.65,"",8894.65
,"24/06/2011","1200 · Accounts Receivable",4593.65,"",4593.65
,"11/01/2011","1220 · MR Accounts Receivable","",31255.95,-31255.95
,"30/05/2011","1220 · MR Accounts Receivable",37007.08,"",37007.08
,"30/05/2011","1220 · MR Accounts Receivable",10696.84,"",10696.84
,"11/01/2011","1224 · NZD Accounts Receivable","",4638.15,-4638.15
,"24/05/2011","1224 · NZD Accounts Receivable","",11294.64,-11294.64
,"14/02/2011","1460 · Accrued Revenue","",7328.29,-7328.29
,"25/02/2011","1480 · Loan - MaxiPlan Singapore",20000.00,"",20000.00
,"28/02/2011","1485 · Loans - MaxiPlan Australia",25481.60,"",25481.60
,"7/01/2011","2000 · Accounts Payable","",340.38,-340.38
,"1/01/2011","2000 · Accounts Payable","",3159.56,-3159.56
,"11/01/2011","2000 · Accounts Payable",86.41,"",86.41
,"11/01/2011","2000 · Accounts Payable",340.38,"",340.38
,"11/01/2011","2000 · Accounts Payable",3159.56,"",3159.56
,"11/01/2011","2000 · Accounts Payable",650.00,"",650.00
,"2/01/2011","2000 · Accounts Payable","",3159.56,-3159.56
,"24/01/2011","2000 · Accounts Payable","",101.03,-101.03
,"31/01/2011","2000 · Accounts Payable","",11086.00,-11086.00
,"25/02/2011","2000 · Accounts Payable",11086.00,"",11086.00
,"1/03/2011","2000 · Accounts Payable","",3255.72,-3255.72
,"23/02/2011","2000 · Accounts Payable","",95.00,-95.00
,"26/02/2011","2000 · Accounts Payable","",42.31,-42.31
,"11/03/2011","2000 · Accounts Payable",95.00,"",95.00
,"11/03/2011","2000 · Accounts Payable",3255.72,"",3255.72
,"11/03/2011","2000 · Accounts Payable",42.31,"",42.31
,"16/02/2011","2000 · Accounts Payable",101.03,"",101.03
,"16/02/2011","2000 · Accounts Payable",3159.56,"",3159.56
,"28/03/2011","2000 · Accounts Payable","",110.26,-110.26
,"1/04/2011","2000 · Accounts Payable","",3191.37,-3191.37
,"26/03/2011","2000 · Accounts Payable","",719.10,-719.10
,"12/04/2011","2000 · Accounts Payable",719.10,"",719.10
,"12/04/2011","2000 · Accounts Payable",3191.37,"",3191.37
,"12/04/2011","2000 · Accounts Payable",110.26,"",110.26
