,"Account","Type","Balance Total","Description","Accnt. #","Tax Line"
,"1001 · 429 SCB","Bank",14161.25,"429 SCB","1001","<Unassigned>"
,"1002 · SCB HK$","Bank",286.48,,"1002","<Unassigned>"
,"1005 · SCB US$","Bank",25504.47,"SCB US$","1005","<Unassigned>"
,"1008 · Cash Suspense","Bank",0.00,"Cash Suspense","1008","<Unassigned>"
,"1021 · Petty Cash","Bank",276.30,,"1021","<Unassigned>"
,"1200 · Accounts Receivable","Accounts Receivable",27877.58,,"1200","<Unassigned>"
,"1201 · Other Debtors","Accounts Receivable",0.00,,"1201","<Unassigned>"
,"1220 · MR Accounts Receivable","Accounts Receivable",148820.33,"Malaysian Ringgit AR","1220","<Unassigned>"
,"1222 · THB Accounts Receivable","Accounts Receivable",0.00,,"1222","<Unassigned>"
,"1224 · NZD Accounts Receivable","Accounts Receivable",16272.50,,"1224","<Unassigned>"
,"1230 · Temporary Suspense","Other Current Asset",0.00,"Used to post AR/AP offsets","1230","<Unassigned>"
,"1300 · Prepayments","Other Current Asset",3363.14,,"1300","<Unassigned>"
,"1420 · Advance Legal Fees","Other Current Asset",0.00,"Advance Legal Fees","1420","<Unassigned>"
,"1450 · Deposits & Advances","Other Current Asset",9760.75,"Deposits & Advances","1450","<Unassigned>"
,"1450 · Deposits & Advances:1451 · Lease Deposit","Other Current Asset",9478.70,"Lease Deposit","1451","<Unassigned>"
,"1450 · Deposits & Advances:1452 · Other Deposits","Other Current Asset",0.00,,"1452","<Unassigned>"
,"1450 · Deposits & Advances:1453 · Utilities Deposits","Other Current Asset",282.05,"Utilities Deposits","1453","<Unassigned>"
,"1460 · Accrued Revenue","Other Current Asset",0.00,,"1460","<Unassigned>"
,"1470 · Directors Loans","Other Current Asset",30072.27,,"1470","<Unassigned>"
,"1470 · Directors Loans:1471 · G C Parsons","Other Current Asset",0.00,,"1471","<Unassigned>"
,"1470 · Directors Loans:1472 · George Wilk","Other Current Asset",0.00,"Loans/Advances to George Wilk","1472","<Unassigned>"
,"1470 · Directors Loans:1473 · Thomas Lo","Other Current Asset",30072.27,,"1473","<Unassigned>"
,"1480 · Loan - MaxiPlan Singapore","Other Current Asset",114235.27,,"1480","<Unassigned>"
,"1485 · Loans - MaxiPlan Australia","Other Current Asset",197960.77,,"1485","<Unassigned>"
,"1490 · Loans MaxiPlan Software UK","Other Current Asset",0.00,,"1490","<Unassigned>"
,"1499 · Undeposited Funds","Other Current Asset",0.00,,"1499","<Unassigned>"
,"1510 · Employee Advances","Other Current Asset",0.00,"Employee Advances","1510","<Unassigned>"
,"1890 · Office Equipment","Fixed Asset",0.00,"Office Equipment","1890","<Unassigned>"
,"1890 · Office Equipment:1891 · Cost","Fixed Asset",665.13,"Cost","1891","<Unassigned>"
,"1890 · Office Equipment:1892 · Accumulated Depreciation","Fixed Asset",-665.13,"Accumulated Depreciation","1892","<Unassigned>"
,"1910 · Computer Equipment","Fixed Asset",0.00,"Computer Equipment","1910","<Unassigned>"
,"1910 · Computer Equipment:1911 · Cost","Fixed Asset",10644.69,"Original Asset Cost","1911","<Unassigned>"
,"1910 · Computer Equipment:1912 · Accumulated Depn","Fixed Asset",-10644.69,"Accumulated Asset Depn","1912","<Unassigned>"
,"1950 · Fixtures & Fittings","Fixed Asset",0.00,"Fixtures & Fittings","1950","<Unassigned>"
