,"Account","Type","Balance Total","Description","Accnt. #","Tax Line"
,"1002 · CitiBank USD","Bank",-1274.64,"CitiBank USD CitiAccess","1002","<Unassigned>"
,"1008 · Cash Suspense","Bank",0.00,"Cash Suspense","1008","<Unassigned>"
,"1010 · DBS SGD","Bank",-25190.79,"DBS Bank SGD Check Account","1010","<Unassigned>"
,"1012 · DBS USD","Bank",28562.01,"DBS USD Account","1012","<Unassigned>"
,"1021 · Petty Cash","Bank",500.00,,"1021","<Unassigned>"
,"1200 · Accounts Receivable","Accounts Receivable",86324.35,,"1200","<Unassigned>"
,"1205 · Accounts Receivable (USD)","Accounts Receivable",9835.72,,"1205","<Unassigned>"
,"1300 · Prepayments","Other Current Asset",0.00,,"1300","<Unassigned>"
,"1320 · Accrued Revenue","Other Current Asset",0.00,,"1320","<Unassigned>"
,"1420 · Advance Legal Fees","Other Current Asset",0.00,"Advance Legal Fees","1420","<Unassigned>"
,"1450 · Deposits & Advances","Other Current Asset",12051.50,"Deposits & Advances","1450","<Unassigned>"
,"1450 · Deposits & Advances:1451 · Lease Deposit","Other Current Asset",11998.00,"Lease Deposit","1451","<Unassigned>"
,"1450 · Deposits & Advances:1452 · Other Deposits","Other Current Asset",53.50,,"1452","<Unassigned>"
,"1450 · Deposits & Advances:1453 · Utilities Deposits","Other Current Asset",0.00,"Utilities Deposits","1453","<Unassigned>"
,"1470 · Directors Loans","Other Current Asset",-4247.86,,"1470","<Unassigned>"
,"1470 · Directors Loans:1471 · G C Parsons","Other Current Asset",-4247.86,,"1471","<Unassigned>"
,"1485 · Loans to DanaiCorp Limited","Other Current Asset",7834.50,,"1485","<Unassigned>"
,"1499 · Undeposited Funds","Other Current Asset",0.00,,"1499","<Unassigned>"
,"1510 · Employee Advances","Other Current Asset",5.04,"Employee Advances","1510","<Unassigned>"
,"1510 · Employee Advances:1513 · Andi Christian Advance","Other Current Asset",5.04,,"1513","<Unassigned>"
,"1890 · Office Equipment","Fixed Asset",0.00,"Office Equipment","1890","<Unassigned>"
,"1890 · Office Equipment:1891 · Cost","Fixed Asset",999.00,"Cost","1891","<Unassigned>"
,"1890 · Office Equipment:1892 · Accumulated Depreciation","Fixed Asset",-999.00,"Accumulated Depreciation","1892","<Unassigned>"
,"1910 · Computer Equipment","Fixed Asset",0.00,"Computer Equipment","1910","<Unassigned>"
,"1910 · Computer Equipment:1911 · Cost","Fixed Asset",17138.00,"Original Asset Cost","1911","<Unassigned>"
,"1910 · Computer Equipment:1912 · Accumulated Depn","Fixed Asset",-17138.00,"Accumulated Asset Depn","1912","<Unassigned>"
,"1950 · Fixtures & Fittings","Fixed Asset",0.00,"Fixtures & Fittings","1950","<Unassigned>"
,"1950 · Fixtures & Fittings:1951 · Accumulated Depreciation","Fixed Asset",0.00,,"1951","<Unassigned>"
,"1950 · Fixtures & Fittings:1952 · Cost","Fixed Asset",0.00,"Cost","1952","<Unassigned>"
,"2000 · Accounts Payable","Accounts Payable",5818.55,,"2000","<Unassigned>"
,"2002 · USD Accounts Payable","Accounts Payable",945.61,,"2002","<Unassigned>"
,"2010 · Loans from Affiliate Companies","Other Current Liability",299350.73,,"2010","<Unassigned>"
