MXP AUSTRALIA,1001,1001 - MacQuarie Cash Management Trust,1001 - MacQuarie Cash Management Trust,1001 - Local Bank Account 1
MXP AUSTRALIA,1030,1030 - Satoluja Trust Account,1030 - Satoluja Trust Account,1011 - USD Bank Account 2
MXP AUSTRALIA,1051,1051 - Petty Cash,1051 - Petty Cash,1090 - Petty Cash Account
MXP AUSTRALIA,1052,1052 - GW Trust A/C (Managed by STLJ),1052 - GW Trust A/C (Managed by STLJ),1010 - USD Bank Account 1
MXP AUSTRALIA,1080,1080 - Cash On Hand,1080 - Cash On Hand,1099 - Cash Suspense
MXP AUSTRALIA,1200,1200 - Accounts Receivable,1200 - Accounts Receivable,1210 - Trade Debtors
MXP AUSTRALIA,1400,1400 - Loans to Related Companies,1400 - Loans to Related Companies,1580 - Loans Other
MXP AUSTRALIA,1402,1400 - Loans to Related Companies:1402 - Loans to MaxiPlan Singapore,1402 - Loans to MaxiPlan Singapore,1530 - Maxiplan Singapore
MXP AUSTRALIA,1499,1499 - Undeposited Funds,1499 - Undeposited Funds,1590 - Undeposited Funds
MXP AUSTRALIA,1560,1560 - Plant & Equipment,1560 - Plant & Equipment,1620 - Office Equip - At Cost
MXP AUSTRALIA,1561,1560 - Plant & Equipment:1561 - Original Cost,1561 - Original Cost,1620 - Office Equip - At Cost
MXP AUSTRALIA,1562,1560 - Plant & Equipment:1562 - Accoumulated Depreciation,1562 - Accoumulated Depreciation,1630 - Office Equip - Accum Depn
MXP AUSTRALIA,1570,1570 - Computer Equipment,1570 - Computer Equipment,1650 - Computers - At Cost
MXP AUSTRALIA,1571,1570 - Computer Equipment:1571 - Computer Equipment - Original C,1571 - Computer Equipment - Original C,1650 - Computers - At Cost
MXP AUSTRALIA,1572,1570 - Computer Equipment:1572 - Computer Equip- Accum Depn,1572 - Computer Equip- Accum Depn,1660 - Computers - Accum Depn
MXP AUSTRALIA,6620,6620 - Formation Expenses,6620 - Formation Expenses,6990 - Miscellaneous Expenses
MXP AUSTRALIA,2000,2000 - Accounts Payable,2000 - Accounts Payable,2010 - Trade Creditors
MXP AUSTRALIA,2030,2030 - Accounts Payable - THB,2030 - Accounts Payable - THB,2010 - Trade Creditors
MXP AUSTRALIA,2100,2100 - Payroll Liabilities,2100 - Payroll Liabilities,2410 - Payroll Liabilities
MXP AUSTRALIA,2102,2100 - Payroll Liabilities:2102 - Payroll Tax,2102 - Payroll Tax,2410 - Payroll Liabilities
MXP AUSTRALIA,2105,2100 - Payroll Liabilities:2105 - Superannuation Liabilities,2105 - Superannuation Liabilities,2410 - Payroll Liabilities
MXP AUSTRALIA,2110,2110 - Prepaid M&S Fees,2110 - Prepaid M&S Fees,2310 - Prepaid Maintenance
MXP AUSTRALIA,2120,2120 - Loans - Related Parties,2120 - Loans - Related Parties,2190 - Loans from Affilites - Non Specific
MXP AUSTRALIA,2121,2120 - Loans - Related Parties:2121 - Loans - Satoluja Holdings P/L,2121 - Loans - Satoluja Holdings P/L,2150 - Loans - Satoluja
MXP AUSTRALIA,2122,2120 - Loans - Related Parties:2122 - Loans - MaxiPlan HK,2122 - Loans - MaxiPlan HK,2120 - Loans - Maxiplan HK
MXP AUSTRALIA,2140,2140 - Shareholders Loans,2140 - Shareholders Loans,2290 - Loans - Directors Other
MXP AUSTRALIA,2141,2140 - Shareholders Loans:2141 - Loans - Greg Parsons,2141 - Loans - Greg Parsons,2210 - Loans - G C Parsons
MXP AUSTRALIA,2142,2140 - Shareholders Loans:2142 - Loans - George Wilk,2142 - Loans - George Wilk,2220 - Loans - G Wilk
MXP AUSTRALIA,2143,2140 - Shareholders Loans:2142 - Loans - George Wilk:2143 - Loans GW (via Satoluja Hldgs),2143 - Loans GW (via Satoluja Hldgs),2220 - Loans - G Wilk
MXP AUSTRALIA,2150,2150 - Loan from  Peter,2150 - Loan from  Peter,2290 - Loans - Directors Other
MXP AUSTRALIA,2190,2190 - Accrued Expenses,2190 - Accrued Expenses,2510 - Accrued Expenses
MXP AUSTRALIA,2200,2200 - Tax Payable,2200 - Tax Payable,2620 - Taxation Payable
MXP AUSTRALIA,1110,1110 - Retained Earnings,1110 - Retained Earnings,3300 - Retained Earnings
MXP AUSTRALIA,3000,3000 - Opening Bal Equity,3000 - Opening Bal Equity,3100 - Opening Balance Equity
MXP AUSTRALIA,4100,4100 - SW Licence Fees,4100 - SW Licence Fees,4010 - Software Licence Fees
MXP AUSTRALIA,4120,4120 - Software Maintenance Fees,4120 - Software Maintenance Fees,4020 - Support and Upgrade Fees
MXP AUSTRALIA,4200,4200 - Consultancy and Development,4200 - Consultancy and Development,4030 - Consultancy and Development
MXP AUSTRALIA,4300,4300 - Automatos Service Revenue,4300 - Automatos Service Revenue,4050 - Miscellaneous Income
MXP AUSTRALIA,4520,4520 - Consulting Expenses Recovery,4520 - Consulting Expenses Recovery,4040 - Consulting Expenses Recovery
