Entity,Accnt. #,Account,FullAccount,Type
MXP SINGAPORE,1002,1002 - CitiBank USD,1002 - CitiBank USD,Bank
MXP SINGAPORE,1008,1008 - Cash Suspense,1008 - Cash Suspense,Bank
MXP SINGAPORE,1010,1010 - DBS SGD,1010 - DBS SGD,Bank
MXP SINGAPORE,1012,1012 - DBS USD,1012 - DBS USD,Bank
MXP SINGAPORE,1021,1021 - Petty Cash,1021 - Petty Cash,Bank
MXP SINGAPORE,1200,1200 - Accounts Receivable,1200 - Accounts Receivable,Accounts Receivable
MXP SINGAPORE,1205,1205 - Accounts Receivable (USD),1205 - Accounts Receivable (USD),Accounts Receivable
MXP SINGAPORE,1300,1300 - Prepayments,1300 - Prepayments,Other Current Asset
MXP SINGAPORE,1320,1320 - Accrued Revenue,1320 - Accrued Revenue,Other Current Asset
MXP SINGAPORE,1420,1420 - Advance Legal Fees,1420 - Advance Legal Fees,Other Current Asset
MXP SINGAPORE,1450,1450 - Deposits & Advances,1450 - Deposits & Advances,Other Current Asset
MXP SINGAPORE,1451,1451 - Lease Deposit,1450 - Deposits & Advances:1451 - Lease Deposit,Other Current Asset
MXP SINGAPORE,1452,1452 - Other Deposits,1450 - Deposits & Advances:1452 - Other Deposits,Other Current Asset
MXP SINGAPORE,1453,1453 - Utilities Deposits,1450 - Deposits & Advances:1453 - Utilities Deposits,Other Current Asset
MXP SINGAPORE,1470,1470 - Directors Loans,1470 - Directors Loans,Other Current Asset
MXP SINGAPORE,1471,1471 - G C Parsons,1470 - Directors Loans:1471 - G C Parsons,Other Current Asset
MXP SINGAPORE,1485,1485 - Loans to DanaiCorp Limited,1485 - Loans to DanaiCorp Limited,Other Current Asset
MXP SINGAPORE,1499,1499 - Undeposited Funds,1499 - Undeposited Funds,Other Current Asset
MXP SINGAPORE,1510,1510 - Employee Advances,1510 - Employee Advances,Other Current Asset
MXP SINGAPORE,1513,1513 - Andi Christian Advance,1510 - Employee Advances:1513 - Andi Christian Advance,Other Current Asset
MXP SINGAPORE,1890,1890 - Office Equipment,1890 - Office Equipment,Fixed Asset
MXP SINGAPORE,1891,1891 - Cost,1890 - Office Equipment:1891 - Cost,Fixed Asset
MXP SINGAPORE,1892,1892 - Accumulated Depreciation,1890 - Office Equipment:1892 - Accumulated Depreciation,Fixed Asset
MXP SINGAPORE,1910,1910 - Computer Equipment,1910 - Computer Equipment,Fixed Asset
MXP SINGAPORE,1911,1911 - Cost,1910 - Computer Equipment:1911 - Cost,Fixed Asset
MXP SINGAPORE,1912,1912 - Accumulated Depn,1910 - Computer Equipment:1912 - Accumulated Depn,Fixed Asset
MXP SINGAPORE,1950,1950 - Fixtures & Fittings,1950 - Fixtures & Fittings,Fixed Asset
MXP SINGAPORE,1951,1951 - Accumulated Depreciation,1950 - Fixtures & Fittings:1951 - Accumulated Depreciation,Fixed Asset
MXP SINGAPORE,1952,1952 - Cost,1950 - Fixtures & Fittings:1952 - Cost,Fixed Asset
MXP SINGAPORE,2000,2000 - Accounts Payable,2000 - Accounts Payable,Accounts Payable
MXP SINGAPORE,2002,2002 - USD Accounts Payable,2002 - USD Accounts Payable,Accounts Payable
MXP SINGAPORE,2010,2010 - Loans from Affiliate Companies,2010 - Loans from Affiliate Companies,Other Current Liability
MXP SINGAPORE,2012,2012 - Loan MaxiPlan HK,2010 - Loans from Affiliate Companies:2012 - Loan MaxiPlan HK,Other Current Liability
MXP SINGAPORE,2013,2013 - Loan Maxiplan Australia,2010 - Loans from Affiliate Companies:2013 - Loan Maxiplan Australia,Other Current Liability
MXP SINGAPORE,2014,2014 - Loan BPS Singapore,2010 - Loans from Affiliate Companies:2014 - Loan BPS Singapore,Other Current Liability
MXP SINGAPORE,2020,2020 - Shareholder Loans,2020 - Shareholder Loans,Other Current Liability
MXP SINGAPORE,2021,2021 - G C Parsons,2020 - Shareholder Loans:2021 - G C Parsons,Other Current Liability
MXP SINGAPORE,2030,2030 - Loans Received - G Wilk,2030 - Loans Received - G Wilk,Other Current Liability
MXP SINGAPORE,2040,2040 - Loans Received - Satoluja,2040 - Loans Received - Satoluja,Other Current Liability
MXP SINGAPORE,2060,2060 - Other Payables,2060 - Other Payables,Other Current Liability
MXP SINGAPORE,2062,2062 - MaxiPlan HK - Upgrade Accruals,2060 - Other Payables:2062 - MaxiPlan HK - Upgrade Accruals,Other Current Liability
MXP SINGAPORE,2100,2100 - Payroll Liabilities,2100 - Payroll Liabilities,Other Current Liability
MXP SINGAPORE,2111,2111 - Payroll Liability - GCP,2111 - Payroll Liability - GCP,Other Current Liability
MXP SINGAPORE,2200,2200 - GST Control,2200 - GST Control,Other Current Liability
MXP SINGAPORE,2710,2710 - Prepaid Maintenance,2710 - Prepaid Maintenance,Other Current Liability
MXP SINGAPORE,2850,2850 - Withholding Tax,2850 - Withholding Tax,Other Current Liability
MXP SINGAPORE,2860,2860 - Accrued Expense,2860 - Accrued Expense,Other Current Liability
MXP SINGAPORE,2870,2870 - Taxation Payable,2870 - Taxation Payable,Other Current Liability
MXP SINGAPORE,2880,2880 - Deferred Taxation,2880 - Deferred Taxation,Other Current Liability
MXP SINGAPORE,3000,3000 - Opening Bal Equity,3000 - Opening Bal Equity,Equity
MXP SINGAPORE,3100,3100 - Share Capital,3100 - Share Capital,Equity
MXP SINGAPORE,3200,3200 - Retained Earnings,3200 - Retained Earnings,Equity
MXP SINGAPORE,4005,4005 - Automatos Service Fees,4005 - Automatos Service Fees,Income
MXP SINGAPORE,4010,4010 - SW Licenses,4010 - SW Licenses,Income
MXP SINGAPORE,4020,4020 - Software M&S Income,4020 - Software M&S Income,Income
MXP SINGAPORE,4030,4030 - Consulting Income,4030 - Consulting Income,Income
MXP SINGAPORE,4031,4031 - Software Development,4031 - Software Development,Income
MXP SINGAPORE,4040,4040 - Reimbursed Expenses,4040 - Reimbursed Expenses,Income
MXP SINGAPORE,4050,4050 - Miscellaneous Income,4050 - Miscellaneous Income,Income
MXP SINGAPORE,5010,5010 - Software Licensing,5010 - Software Licensing,Cost of Goods Sold
MXP SINGAPORE,5011,5011 - Software Licensing/Upgrade Fees,5010 - Software Licensing:5011 - Software Licensing/Upgrade Fees,Cost of Goods Sold
MXP SINGAPORE,5012,5012 - Withholding Tax,5010 - Software Licensing:5012 - Withholding Tax,Cost of Goods Sold
MXP SINGAPORE,5020,5020 - External Consulting,5020 - External Consulting,Cost of Goods Sold
MXP SINGAPORE,5021,5021 - External Consulting Net Fees,5020 - External Consulting:5021 - External Consulting Net Fees,Cost of Goods Sold
MXP SINGAPORE,5022,5022 - Withholding Tax,5020 - External Consulting:5022 - Withholding Tax,Cost of Goods Sold
MXP SINGAPORE,6002,6002 - Exchange Gain/Loss,6002 - Exchange Gain/Loss,Expense
MXP SINGAPORE,6010,6010 - Salaries & Benefits,6010 - Salaries & Benefits,Expense
MXP SINGAPORE,6011,6011 - Salary,6010 - Salaries & Benefits:6011 - Salary,Expense
MXP SINGAPORE,6012,6012 - Allowance,6010 - Salaries & Benefits:6012 - Allowance,Expense
MXP SINGAPORE,6013,6013 - Bonus,6010 - Salaries & Benefits:6013 - Bonus,Expense
MXP SINGAPORE,6014,6014 - Leave Pay Due on Termination,6010 - Salaries & Benefits:6014 - Leave Pay Due on Termination,Expense
MXP SINGAPORE,6015,6015 - MPF Contributions,6010 - Salaries & Benefits:6015 - MPF Contributions,Expense
MXP SINGAPORE,6016,6016 - Employment Pass Fees,6010 - Salaries & Benefits:6016 - Employment Pass Fees,Expense
MXP SINGAPORE,6017,6017 - Health Cover,6010 - Salaries & Benefits:6017 - Health Cover,Expense
MXP SINGAPORE,6018,6018 - Medical Benefits,6010 - Salaries & Benefits:6018 - Medical Benefits,Expense
MXP SINGAPORE,6019,6019 - Training,6010 - Salaries & Benefits:6019 - Training,Expense
MXP SINGAPORE,6020,6020 - Occupancy Charges,6020 - Occupancy Charges,Expense
MXP SINGAPORE,6021,6021 - Rent,6020 - Occupancy Charges:6021 - Rent,Expense
MXP SINGAPORE,6022,6022 - Amenities,6020 - Occupancy Charges:6022 - Amenities,Expense
MXP SINGAPORE,6023,6023 - Service Charge,6020 - Occupancy Charges:6023 - Service Charge,Expense
MXP SINGAPORE,6024,6024 - Signage,6020 - Occupancy Charges:6024 - Signage,Expense
MXP SINGAPORE,6025,6025 - Rates,6020 - Occupancy Charges:6025 - Rates,Expense
MXP SINGAPORE,6027,6027 - Repairs Reclaimed from Rent,6020 - Occupancy Charges:6027 - Repairs Reclaimed from Rent,Expense
MXP SINGAPORE,6030,6030 - Office Admin Costs,6030 - Office Admin Costs,Expense
MXP SINGAPORE,6031,6031 - Office Cleaning/Amenities,6030 - Office Admin Costs:6031 - Office Cleaning/Amenities,Expense
MXP SINGAPORE,6032,6032 - Secretarial Services,6030 - Office Admin Costs:6032 - Secretarial Services,Expense
