,Date,Account,Debit,Credit,Amount
1001 · Citibank SGD Cheque,,,,,
Total 1001 · Citibank SGD Cheque,,,,,
1002 · CitiBank USD,,,,,
Total 1002 · CitiBank USD,,,,,
1005 · CitiBank AUD Foreign Currency,,,,,
Total 1005 · CitiBank AUD Foreign Currency,,,,,
1006 · CitiBank GBP Foreign Currency,,,,,
Total 1006 · CitiBank GBP Foreign Currency,,,,,
1008 · Cash Suspense,,,,,
Total 1008 · Cash Suspense,,,,,
1010 · DBS SGD,,,,,
,3/01/2011,1010 · DBS SGD,,3800,-3800
,3/01/2011,1010 · DBS SGD,,3440.5,-3440.5
,3/01/2011,1010 · DBS SGD,,24,-24
,5/01/2011,1010 · DBS SGD,,3209.97,-3209.97
,5/01/2011,1010 · DBS SGD,,216.63,-216.63
,10/01/2011,1010 · DBS SGD,11623.5,,11623.5
,16/01/2011,1010 · DBS SGD,,177.19,-177.19
,16/01/2011,1010 · DBS SGD,,68,-68
,19/01/2011,1010 · DBS SGD,,776,-776
,20/01/2011,1010 · DBS SGD,,134.54,-134.54
,20/01/2011,1010 · DBS SGD,,2867.38,-2867.38
,20/01/2011,1010 · DBS SGD,,134.82,-134.82
,20/01/2011,1010 · DBS SGD,480,,480
,20/01/2011,1010 · DBS SGD,,15,-15
,26/01/2011,1010 · DBS SGD,,216.88,-216.88
,28/01/2011,1010 · DBS SGD,,7327.5,-7327.5
,28/01/2011,1010 · DBS SGD,,4813,-4813
,28/01/2011,1010 · DBS SGD,,4211,-4211
,28/01/2011,1010 · DBS SGD,,847.5,-847.5
,31/01/2011,1010 · DBS SGD,1245,,1245
,1/02/2011,1010 · DBS SGD,,3800,-3800
,1/02/2011,1010 · DBS SGD,,3838.3,-3838.3
,6/02/2011,1010 · DBS SGD,0,,0
,7/02/2011,1010 · DBS SGD,35820.4,,35820.4
,10/02/2011,1010 · DBS SGD,,2552.6,-2552.6
,11/02/2011,1010 · DBS SGD,,6519.5,-6519.5
,11/02/2011,1010 · DBS SGD,,33,-33
,11/02/2011,1010 · DBS SGD,,51,-51
,12/02/2011,1010 · DBS SGD,,99.21,-99.21
,14/02/2011,1010 · DBS SGD,,114.09,-114.09
,14/02/2011,1010 · DBS SGD,,252.08,-252.08
,25/02/2011,1010 · DBS SGD,,4087.5,-4087.5
,25/02/2011,1010 · DBS SGD,,2690,-2690
,25/02/2011,1010 · DBS SGD,,2267,-2267
,25/02/2011,1010 · DBS SGD,,1000,-1000
,25/02/2011,1010 · DBS SGD,25336.64,,25336.64
,25/02/2011,1010 · DBS SGD,,10,-10
,25/02/2011,1010 · DBS SGD,,143.48,-143.48
,1/03/2011,1010 · DBS SGD,,3800,-3800
,3/03/2011,1010 · DBS SGD,,980.49,-980.49
,7/03/2011,1010 · DBS SGD,,3211.5,-3211.5
,7/03/2011,1010 · DBS SGD,,3513.5,-3513.5
,7/03/2011,1010 · DBS SGD,,24,-24
,7/03/2011,1010 · DBS SGD,,310.54,-310.54
,8/03/2011,1010 · DBS SGD,,468.16,-468.16
,28/03/2011,1010 · DBS SGD,,4087.5,-4087.5
,28/03/2011,1010 · DBS SGD,,2690,-2690
,28/03/2011,1010 · DBS SGD,,2267,-2267
,28/03/2011,1010 · DBS SGD,,725,-725
,28/03/2011,1010 · DBS SGD,,214.6,-214.6
,28/03/2011,1010 · DBS SGD,,170.74,-170.74
,31/03/2011,1010 · DBS SGD,12538,,12538
,31/03/2011,1010 · DBS SGD,,15,-15
,31/03/2011,1010 · DBS SGD,12495,,12495
,1/04/2011,1010 · DBS SGD,,3592.5,-3592.5
,4/04/2011,1010 · DBS SGD,,6000,-6000
,9/04/2011,1010 · DBS SGD,,3800,-3800
,9/04/2011,1010 · DBS SGD,,3717.36,-3717.36
,13/04/2011,1010 · DBS SGD,4217,,4217
,13/04/2011,1010 · DBS SGD,,32.1,-32.1
,13/04/2011,1010 · DBS SGD,,2448.75,-2448.75
,26/04/2011,1010 · DBS SGD,41100,,41100
,26/04/2011,1010 · DBS SGD,0.97,,0.97
,28/04/2011,1010 · DBS SGD,,4287.5,-4287.5
,28/04/2011,1010 · DBS SGD,,2690,-2690
,28/04/2011,1010 · DBS SGD,,2267,-2267
,28/04/2011,1010 · DBS SGD,,700,-700
,28/04/2011,1010 · DBS SGD,,2547.43,-2547.43
,28/04/2011,1010 · DBS SGD,,9273.75,-9273.75
,1/05/2011,1010 · DBS SGD,,3767.9,-3767.9
,1/05/2011,1010 · DBS SGD,,3592.5,-3592.5
,15/05/2011,1010 · DBS SGD,,3490.97,-3490.97
Total 1010 · DBS SGD,,,144856.51,134423.46,10433.05
1012 · DBS USD,,,,,
,1/01/2011,1012 · DBS USD,4357.67,,4357.67
,10/01/2011,1012 · DBS USD,,11623.5,-11623.5
,10/01/2011,1012 · DBS USD,,3874.5,-3874.5
,31/01/2011,1012 · DBS USD,70.02,,70.02
,9/02/2011,1012 · DBS USD,6037.15,,6037.15
,9/02/2011,1012 · DBS USD,,10.03,-10.03
,22/02/2011,1012 · DBS USD,10918.25,,10918.25
,22/02/2011,1012 · DBS USD,,10.01,-10.01
,28/02/2011,1012 · DBS USD,,170.63,-170.63
,3/03/2011,1012 · DBS USD,,15766.25,-15766.25
,29/03/2011,1012 · DBS USD,12558.95,,12558.95
,29/03/2011,1012 · DBS USD,,9.88,-9.88
,31/03/2011,1012 · DBS USD,,12538,-12538
,31/03/2011,1012 · DBS USD,,267.77,-267.77
Total 1012 · DBS USD,,,33942.04,44270.57,-10328.53
1021 · Petty Cash,,,,,
Total 1021 · Petty Cash,,,,,
1200 · Accounts Receivable,,,,,
,31/01/2011,1200 · Accounts Receivable,,1245,-1245
,11/03/2011,1200 · Accounts Receivable,4217,,4217
,21/03/2011,1200 · Accounts Receivable,37500,,37500
,28/03/2011,1200 · Accounts Receivable,2500,,2500
,31/03/2011,1200 · Accounts Receivable,3600,,3600
,13/04/2011,1200 · Accounts Receivable,,4217,-4217
,26/04/2011,1200 · Accounts Receivable,,41100,-41100
Total 1200 · Accounts Receivable,,,47817,46562,1255
1201 · Other Debtors,,,,,
Total 1201 · Other Debtors,,,,,
1205 · Accounts Receivable (USD),,,,,
,28/01/2011,1205 · Accounts Receivable (USD),6018.35,,6018.35
,9/02/2011,1205 · Accounts Receivable (USD),,6018.35,-6018.35
,14/02/2011,1205 · Accounts Receivable (USD),30901.25,,30901.25
